pk,entity_id,name,email,password,role_ids,permission_ids
Vendors,VEN001,ABC Tech Solutions
Vendors,VEN002,Global Gadgets Inc.
Vendors,VEN003,Premium Foodstuff Co.
Vendors,VEN004,Fashion Trends Ltd.
Vendors,VEN005,Home Essentials Store
Users,USER001,,admin@example.com,$2a$12$bheazl05NzaTx8DXEmkRSeptB40WwbYqgKvDhRcPBDawv0etB1rDm,"[""ROLE001""]"
Users,USER002,,thao@example.com,$2a$12$vAtNvdsfBuzWc3hg4VkuueTZpNJnkzr8ahKZUxXfJ2GdCplqKIFOe,"[""ROLE002""]"
Users,USER003,,linh@example.com,$2a$12$cyo.sh4/NXj1uWrUhYZ5S.m2BKalzZKtsmmr2qtgZYSLOLGky5Iwq,"[""ROLE001""]"
Users,USER004,,duy@example.com,$2a$12$2Hu3Q1ek3hLo1hJ0firzE.Pl4wj38LltitPov/PYs6.mUjV7NFfva,"[""ROLE002""]"
Users,USER005,,anh@example.com,$2a$12$.8kqKssqm61TrZb053OkreRuNczzjsBKVmHG5MjilGUjs1s7Wd1BW,"[""ROLE002""]"
Roles,ROLE001,ADMIN,,,,"[""PERM001"",""PERM002"",""PERM003"",""PERM004"",""PERM005"",""PERM006"",""PERM007"",""PERM008"",""PERM009"",""PERM010"",""PERM011"",""PERM012""]"
Roles,ROLE002,STAFF,,,,"[""PERM002"",""PERM005"",""PERM007"",""PERM010"",""PERM011""]"
Permissions,PERM001,CREATE_VENDOR
Permissions,PERM002,VIEW_VENDOR
Permissions,PERM003,UPDATE_VENDOR
Permissions,PERM004,DELETE_VENDOR
Permissions,PERM005,IMPORT_PRODUCT
Permissions,PERM006,CREATE_PRODUCT
Permissions,PERM007,VIEW_PRODUCT
Permissions,PERM008,UPDATE_PRODUCT
Permissions,PERM009,DELETE_PRODUCT
Permissions,PERM010,IMPORT_INVOICES
Permissions,PERM011,VIEW_INVOICES
Permissions,PERM012,VIEW_FINANCIAL_STATISTIC
